PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
0g4rT,4r1kr/2pp1p1p/p4PnB/bp4Q1/3P3P/1BP2R2/PP2q1P1/6K1 b - - 0 23,e2e1 f3f1 e1e4 b3d5 e4e3 g5e3,1775,273,85,2,crushing long middlegame,https://lichess.org/6vADYqZx/black#46
0tbTJ,r7/5pk1/2p1p1Pr/pqNn2Qp/1p1Pp1PP/1P6/P1P5/1K1R3R b - - 0 26,f7f6 c5e6 g7g8 g5h6,1126,95,75,25,crushing deflection middlegame short,https://lichess.org/3Lg4bnkx/black#52
0D9tZ,5r2/p7/1pp3Rk/n2p4/3P3P/2PB2K1/P1Pb4/8 b - - 0 32,h6h5 g6e6 f8g8 g3h3,2276,92,72,38,advantage defensiveMove endgame short,https://lichess.org/PGxmbD2z/black#64
0usy4,r4r1k/pb2Q1pp/1p3p2/8/q2B4/P7/1P3PPP/2RR2K1 b - - 2 22,b7a6 d4f6 g7f6 d1d7 a4d7 e7d7,1966,74,95,6234,advantage clearance long middlegame sacrifice,https://lichess.org/glnChOi1/black#44
0OhFV,4rrk1/p1p3pp/1p1p3P/1q1P4/6Q1/P4P2/5PK1/4R2R b - - 0 31,e8e1 g4g7,1315,77,87,1189,endgame mate mateIn1 oneMove,https://lichess.org/QzPUCCw6/black#62
067bD,4r1k1/1p3qpp/p3b1n1/4p3/4Qp2/P1BR4/1PP2PPP/4R1K1 w - - 2 29,c3e5 e6f5 e4d4 f5d3 c2d3 f7e6 d4e4 g6e5,2556,106,90,587,advantage master middlegame skewer veryLong,https://lichess.org/3exqrhZT#57
13UIo,r1b3k1/p4pp1/2p2q2/3p4/5P2/1BPP2Q1/PP2rbPP/R1B2R1K w - - 1 20,f1f2 e2e1 f2f1 e1f1,846,93,44,28,backRankMate mate mateIn2 middlegame short,https://lichess.org/gTnKFKmd#39
086VW,5rk1/p5pp/3Qb3/4pq2/3P4/8/PP3rPP/R1B2RK1 w - - 0 18,c1e3 f2f1 a1f1 f5f1,956,117,57,15,mate mateIn2 middlegame short,https://lichess.org/QsevajDi#35
10krW,5k2/5p2/5pp1/1pp4p/4P3/1P3P1P/P4KP1/8 w - - 0 36,a2a4 c5c4 a4a5 c4b3,1818,75,87,100,crushing endgame pawnEndgame short,https://lichess.org/ECpQreRx#71
0OX3x,r7/1r2k2p/4p3/p7/7R/6P1/7P/K2R4 b - - 5 38,e7f7 h4h7 f7g6 h7b7,1057,78,66,89,crushing endgame rookEndgame short skewer,https://lichess.org/Ci3fsxpi/black#76
0iCKL,3r2k1/1p3pp1/p1qbr2p/3R4/P2P4/N1P3PP/1P3PK1/R2Q4 w - - 1 26,d1f3 e6f6 d5f5 f6f5 f3c6 b7c6,1867,73,93,4379,advantage long middlegame pin,https://lichess.org/YfxEUMmr#51
0NNjj,r1b3k1/5prp/p2p4/1p1Pn2P/2p1PRP1/P1P2N2/1P3K1N/1B6 w - - 7 30,f3e5 d6e5 f4f6 c8g4 h5h6 g7g5,1787,74,94,4768,advantage defensiveMove long middlegame,https://lichess.org/92ArTclL#59
0xrRS,3qk2r/1p3ppp/1p3n2/1P1pn3/8/RP6/2PPQPPP/4K2R b Kk - 0 14,d8e7 a3a8 e8d7 a8h8,940,76,95,128,crushing middlegame short skewer,https://lichess.org/jmvZm5T9/black#28
02ZFk,3Q1k2/8/8/2P5/1n5P/5q2/5P2/6K1 b - - 2 51,f8g7 d8d4 g7f7 d4b4,1497,231,100,15,crushing endgame fork short,https://lichess.org/yiGgg6Gr/black#102
0tprG,r2q1rk1/ppp1n1bp/3p2p1/3Ppb2/2P1NPn1/6N1/PPQB2PP/2K1RB1R b - - 2 14,g4f2 g3f5 e7f5 e4f2,1592,153,76,41,advantage master opening short,https://lichess.org/JLbJBuNz/black#28
